"table_name","module_id","module_name","classification","approval_status","priority","backend_module","migration_name","decision","reason"
"organizations","MOD-01","Core Organization & Tenant Foundation","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"branches","MOD-01","Core Organization & Tenant Foundation","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","auth-organizations","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"departments","MOD-01","Core Organization & Tenant Foundation","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","auth-organizations","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"teams","MOD-01","Core Organization & Tenant Foundation","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","auth-organizations","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"positions","MOD-01","Core Organization & Tenant Foundation","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","auth-organizations","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"system_settings","MOD-01","Core Organization & Tenant Foundation","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","auth-organizations","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"status_definitions","MOD-01","Core Organization & Tenant Foundation","REJECTED_OR_MERGED","MERGED","merged","future-enterprise","","Merge into Application enums and database CHECK constraints","Avoid over-normalization while preserving the frontend aggregate contract."
"status_transitions","MOD-01","Core Organization & Tenant Foundation","REJECTED_OR_MERGED","MERGED","merged","future-enterprise","","Merge into Application/domain lifecycle rules","Avoid over-normalization while preserving the frontend aggregate contract."
"running_numbers","MOD-01","Core Organization & Tenant Foundation","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"master_data_groups","MOD-01","Core Organization & Tenant Foundation","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"master_data_items","MOD-01","Core Organization & Tenant Foundation","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"languages","MOD-01","Core Organization & Tenant Foundation","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"translations","MOD-01","Core Organization & Tenant Foundation","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"user_profiles","MOD-02","External User Profiles & RBAC","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"roles","MOD-02","External User Profiles & RBAC","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"permissions","MOD-02","External User Profiles & RBAC","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"role_permissions","MOD-02","External User Profiles & RBAC","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"user_roles","MOD-02","External User Profiles & RBAC","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"user_groups","MOD-02","External User Profiles & RBAC","P2_ENTERPRISE_FUTURE","DEFERRED","future","auth-organizations","","Keep as future design only","No current product workflow justifies production service/API complexity."
"user_group_members","MOD-02","External User Profiles & RBAC","P2_ENTERPRISE_FUTURE","DEFERRED","future","auth-organizations","","Keep as future design only","No current product workflow justifies production service/API complexity."
"access_policy_rules","MOD-02","External User Profiles & RBAC","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"user_access_logs","MOD-02","External User Profiles & RBAC","P2_ENTERPRISE_FUTURE","DEFERRED","future","auth-organizations","","Keep as future design only","No current product workflow justifies production service/API complexity."
"bi_projects","MOD-03","BI Workspace, Projects & Sheets","P0_CORE","APPROVED","required","projects","0001_core","Implement now","Required by current frontend behavior or production boundary."
"bi_project_members","MOD-03","BI Workspace, Projects & Sheets","P0_CORE","APPROVED","required","projects","0001_core","Implement now","Required by current frontend behavior or production boundary."
"bi_sheets","MOD-03","BI Workspace, Projects & Sheets","P0_CORE","APPROVED","required","projects","0001_core","Implement now","Required by current frontend behavior or production boundary."
"workspace_contexts","MOD-03","BI Workspace, Projects & Sheets","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"bi_dashboards","MOD-04","Dashboard Canvas Builder","P0_CORE","APPROVED","required","dashboards","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dashboard_versions","MOD-04","Dashboard Canvas Builder","P0_CORE","APPROVED","required","dashboards","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dashboard_canvas_settings","MOD-04","Dashboard Canvas Builder","REJECTED_OR_MERGED","MERGED","merged","dashboards","","Merge into bi_dashboards.canvas_settings_json","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widgets","MOD-04","Dashboard Canvas Builder","P0_CORE","APPROVED","required","dashboards","0001_core","Implement now","Required by current frontend behavior or production boundary."
