"source_table","classification","approved_target","migration","backend_module","notes"
"organizations","P0_CORE","organizations","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"branches","P1_PRODUCTION_EXTENSION","branches","future_p1","auth-organizations","Production extension without a required current UI workflow."
"departments","P1_PRODUCTION_EXTENSION","departments","future_p1","auth-organizations","Production extension without a required current UI workflow."
"teams","P1_PRODUCTION_EXTENSION","teams","future_p1","auth-organizations","Production extension without a required current UI workflow."
"positions","P1_PRODUCTION_EXTENSION","positions","future_p1","auth-organizations","Production extension without a required current UI workflow."
"system_settings","P1_PRODUCTION_EXTENSION","system_settings","future_p1","auth-organizations","Production extension without a required current UI workflow."
"status_definitions","REJECTED_OR_MERGED","Application enums and database CHECK constraints","","future-enterprise","Avoid over-normalization while preserving the frontend aggregate contract."
"status_transitions","REJECTED_OR_MERGED","Application/domain lifecycle rules","","future-enterprise","Avoid over-normalization while preserving the frontend aggregate contract."
"running_numbers","P2_ENTERPRISE_FUTURE","running_numbers","","future-enterprise","No current product workflow justifies production service/API complexity."
"master_data_groups","P2_ENTERPRISE_FUTURE","master_data_groups","","future-enterprise","No current product workflow justifies production service/API complexity."
"master_data_items","P2_ENTERPRISE_FUTURE","master_data_items","","future-enterprise","No current product workflow justifies production service/API complexity."
"languages","P2_ENTERPRISE_FUTURE","languages","","future-enterprise","No current product workflow justifies production service/API complexity."
"translations","P2_ENTERPRISE_FUTURE","translations","","future-enterprise","No current product workflow justifies production service/API complexity."
"user_profiles","P0_CORE","user_profiles","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"roles","P0_CORE","roles","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"permissions","P0_CORE","permissions","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"role_permissions","P0_CORE","role_permissions","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"user_roles","P0_CORE","user_roles","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"user_groups","P2_ENTERPRISE_FUTURE","user_groups","","auth-organizations","No current product workflow justifies production service/API complexity."
"user_group_members","P2_ENTERPRISE_FUTURE","user_group_members","","auth-organizations","No current product workflow justifies production service/API complexity."
"access_policy_rules","P2_ENTERPRISE_FUTURE","access_policy_rules","","future-enterprise","No current product workflow justifies production service/API complexity."
"user_access_logs","P2_ENTERPRISE_FUTURE","user_access_logs","","auth-organizations","No current product workflow justifies production service/API complexity."
"bi_projects","P0_CORE","bi_projects","0001_core","projects","Required by current frontend behavior or production boundary."
"bi_project_members","P0_CORE","bi_project_members","0001_core","projects","Required by current frontend behavior or production boundary."
"bi_sheets","P0_CORE","bi_sheets","0001_core","projects","Required by current frontend behavior or production boundary."
"workspace_contexts","P0_CORE","workspace_contexts","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"bi_dashboards","P0_CORE","bi_dashboards","0001_core","dashboards","Required by current frontend behavior or production boundary."
"dashboard_versions","P0_CORE","dashboard_versions","0001_core","dashboards","Required by current frontend behavior or production boundary."
"dashboard_canvas_settings","REJECTED_OR_MERGED","bi_dashboards.canvas_settings_json","","dashboards","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widgets","P0_CORE","dashboard_widgets","0001_core","dashboards","Required by current frontend behavior or production boundary."
"dashboard_widget_chart_links","REJECTED_OR_MERGED","dashboard_widgets.chart_id","","dashboards","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_text_blocks","REJECTED_OR_MERGED","dashboard_widgets.config_json","","dashboards","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_table_configs","REJECTED_OR_MERGED","dashboard_widgets.config_json","","dashboards","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_filter_configs","REJECTED_OR_MERGED","dashboard_widgets.config_json","","dashboards","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_image_assets","REJECTED_OR_MERGED","dashboard_widgets.config_json + files","","dashboards","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_actions","REJECTED_OR_MERGED","dashboard_widgets.config_json","","dashboards","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_templates","P1_PRODUCTION_EXTENSION","dashboard_templates","future_p1","dashboards","Production extension without a required current UI workflow."
"dashboard_template_widgets","P1_PRODUCTION_EXTENSION","dashboard_template_widgets","future_p1","dashboards","Production extension without a required current UI workflow."
"dashboard_filter_presets","P1_PRODUCTION_EXTENSION","dashboard_filter_presets","future_p1","dashboards","Production extension without a required current UI workflow."
"dashboard_filter_values","P1_PRODUCTION_EXTENSION","dashboard_filter_values","future_p1","dashboards","Production extension without a required current UI workflow."
